epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,15159.6,0.84412,1.4889,0.71033,1.18809,0.91005,0.8248,0.89559,0.68493,0.89811,0.82009,0.8775,0.55912,0.81456,1.44346,0.56185,1.1535,0.001288,0.001288,0.001288
90,15328.6,0.82266,1.50041,0.69047,1.1707,0.91588,0.82322,0.89589,0.6867,0.90643,0.81491,0.88049,0.56165,0.81165,1.4385,0.55832,1.15071,0.001189,0.001189,0.001189
91,15497.8,0.67757,1.25469,0.47219,1.05116,0.9131,0.8234,0.89334,0.68231,0.90686,0.8186,0.88116,0.55719,0.81868,1.44392,0.56108,1.15839,0.00109,0.00109,0.00109
92,15665.5,0.6466,1.20202,0.43902,1.02404,0.91571,0.82741,0.89704,0.6872,0.91,0.82297,0.88362,0.56117,0.81903,1.44068,0.55973,1.15918,0.000991,0.000991,0.000991
93,15836.2,0.63336,1.18191,0.42838,1.0221,0.90813,0.83154,0.89973,0.68999,0.9021,0.82743,0.88474,0.5623,0.81491,1.43256,0.55519,1.15662,0.000892,0.000892,0.000892
94,16014.3,0.61764,1.16975,0.41981,1.00878,0.91352,0.83357,0.90127,0.69371,0.90776,0.82769,0.88545,0.56447,0.80958,1.425,0.55228,1.15362,0.000793,0.000793,0.000793
95,16192,0.62649,1.17681,0.41565,1.01541,0.93074,0.82593,0.90244,0.69573,0.92206,0.82162,0.88821,0.56692,0.80602,1.42072,0.54947,1.14923,0.000694,0.000694,0.000694
96,16369.8,0.61015,1.15461,0.41059,1.00805,0.92761,0.83336,0.90317,0.69829,0.92164,0.82818,0.8905,0.57016,0.80039,1.41366,0.54657,1.14524,0.000595,0.000595,0.000595
97,16547.6,0.60584,1.16207,0.40781,1.00162,0.93416,0.82644,0.90388,0.69998,0.92734,0.82189,0.89117,0.57083,0.79677,1.41275,0.54637,1.14197,0.000496,0.000496,0.000496
98,16726.8,0.59697,1.1344,0.40051,0.99724,0.933,0.8264,0.90442,0.70055,0.92718,0.82068,0.89189,0.57268,0.79403,1.41013,0.54389,1.13899,0.000397,0.000397,0.000397
99,16901,0.5901,1.12461,0.40005,0.9977,0.93284,0.8305,0.90342,0.7016,0.92627,0.82549,0.89234,0.57301,0.79349,1.4075,0.53969,1.13902,0.000298,0.000298,0.000298
100,17071.2,0.58865,1.1275,0.39086,0.98772,0.93375,0.83086,0.90511,0.70245,0.92516,0.82429,0.89214,0.57374,0.793,1.40644,0.53932,1.13809,0.000199,0.000199,0.000199
